Do you give consent for AIR to use the data from this survey?,Did you work in Edmonds School District in 2021-2022?,Please select a primary role describing your work with Edmonds Public Schools during the 2021-2022 school year. Select the answer that is most accurate.,,What grade levels are included at the site(s) in which you taught/worked in 2021-2022? (Check all that apply),,,PD topics,data-driven decisions why disagree,climate culture facilitators,climate culture barriers,effective communication,ineffective communication,communication recommendations
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,"As a staff, we have the attitude that our students are all students.  We rarely separate the students based on Special Needs when it comes to anything but instruction.",,,I believe we need a published set of steps and expected guidelines for the process of referrals for any student.  I often see students that I thought were being watched slip through the cracks and are receiving their first referral in 3rd grade.,
Yes,Yes,General education teacher,,,,High school (grades 9-12),"How to realistically differentiate in a large class of gen ed students with many IEP students, given lack of adequate resources.",I rarely receive explanations about why IEP students are placed in my classes. It seems that IEP students appear in groups in certain gen ed classes.,I believe we have Learning Support teachers who genuinely care about student success.,"Lack of para support (paras we have are great, just need more).   Unclear communication with IEP managers (I can think of several emails I've sent/questions I've asked that have gone unanswered).   Unclear communication regarding grading expectations/modifications of assignments.  Some classes (i.e. Science, Social Studies) are much more impacted by Learning Support students than others. I think this contributes to students feeling isolated in gen ed classes. It also places more burden on those teachers.",,I don't remember receiving any district communication about Spec Ed programs.  At the school level: lack of response to questions asked of case managers.  Expectations about how to use Canvas messenger to announce assignment modifications has been incredibly unclear and frustrating.,"Set clear expectation re: Canvas posting (see above comment).  Consolidated, consistent formatting/timing of communication."
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,,"on the last question, staff members give their recommendations about student placement in special or IS classrooms and the district has ignored these recommendations even though they have never met the student.  The building staff are left to deal with significant behaviors or academic needs with no additional resources.  This has happened at my building time after time.  We have been told that the IS (Intensive Support) Classrooms are full.",Open communication with the certificated and classified staff from the building admin would be a positive but there was no trust between the admin and the classified last year.  We had many classified resign because of it.  Open communication did not happen and the classified staff do not have adequate or appropriate training that they need.  ,"We have admin that do not communicate with the staff and half of our staff is new because of the issues that we had last year. Staff who worked at this building last year are very careful with who and what is shared with the admin.  So this past history of what happened at this school is a barrier to a positive climate. Even the new staff members when they arrived, asked the other staff who had worked here previously, what happened last year... Even though all of this was not directed at special ed, it negatively affected the whole school including special ed.  ","The SLP department is very strong.  Even though all of our supervisors resigned at the middle or end of last year, we have continued to be strong advocates for our students and programs that we work in/with. We support each other and work as a team to help others problem solve and provide appropriate services to our students.","The ""This Week"" special ed communication from the ESC was terrible.  Many of us didn't even know that it came from our district admin and that we were supposed to read it until October or November.  And then because it was in print form, when we had questions, there was no one to ask.  I believe there has been one or two of the same types of newsletter sent out again this year although I am not sure.  It is inefficient and confusing, 1. because of the name...""This Week""~ which week???? and 2. when we need to know something and am not sure which week or month it was in a newsletter, and that is the only place it is written down, how do we locate it?  It could take hours to try to find that sentence or bit of information.",Possibly the department manager should be sending out information and giving time at the job-alike meetings to bring up the topic and have questions answered.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,Continued diversity and inclusion in the classroom ,Not enough Para Support to allow students to be in Gen Ed classrooms with support,Weekly email  Principal works hard to be present and available for staff and students,"District wide training days on sensitive topics.  Hard to discuss with complete strangers.  District trainings that are not needed by all staff, but required.",?
Yes,Yes,General education teacher,,,,High school (grades 9-12),"There is a greater need for time than tools, so perhaps tools that are effective, accessible, and easily implemented (don't require hours of outside of contract time).",,"Creating an overall culture of learning at school, would free up teachers to focus on the learning needs of students.   Steps such as a 'no phone' policy in classes and admin take more steps to make sure students are on time and not skipping classes.    These steps would free up teachers to better be able to focus on the learning needs of students (including special ed students).",Time.  ,,I have worked with district staff who work directly with teachers and they are extremely unresponsive in responding to emails.,Accountability of District Staff Members.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"dyslexia, autism",,"Depending on what needs your students have from one year to another, it would be beneficial to have mini courses for gen ed teachers to focus on the students' particular disabilities and what research says works best for those students.",Scheduling,"Emails and phone calls.  School level seems to be more effective, probably because it is more specific to the needs of the local students.",Long information packed pamphlet-like mailings or emails.  They tend to be too general to do any good.,Back to the roots.  One-on-one teachers/staff talking with students and parents.
Yes,Yes,Other (please specify),Teacher of the Deaf and Hard of Hearing (DHH),,,High school (grades 9-12),"1. Writing IEPs to comply with OSPI Safety Net review.    2. Strategies for SDI in cognitive, adaptive and other non-academic areas.",,Progressive/leveled American Sign Language classes for staff would be a good facilitator of an inclusive culture for DHH students.    Current focus on growth mindset and equitable grading practices are beginning to define students with disabilities by what they CAN do.    ,"Resistance to curriculum/assignment modifications from general education teachers.    Not enough education/awareness about using language surrounding disability (e.g., person-first & identity-first, outdated terms, etc.).    Unavailability from general education teachers to attend IEP meetings.",Parentsquare has been a good system for communication.    One-stop information page (staff newsletter Google page).,Staff news/newsletters buried in email inboxes.    Admin is rarely available to answer their phones or return phone messages.,"A page that we can bookmark and return to with pertinent communications. Then, prioritizing critical/policy information to be impossible to miss."
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,1. How to advocate for language delayed students in general ed classrooms.,,1. Teachers make sure students get accommodations in class.,1. Not communicating when there are changes to the schedule.  2. Not requesting interpreters in a timely manner.  3. Not learning how to work with Deaf paras and interpreters.  4. Not considering how last minute decisions affect the DHH.,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,,"I have been told that placement decisions are made based on the feeder patter of the child's school (so they will go to middle and high school with neighborhood peers), but I have students in my classroom who are not in their feeder pattern.  I have also been told students are placed due to their needs, but the program they are placed in does have the materials/staff/equipment that are needed to meet the student's needs.  I have had parents ask why students are placed in programs that are farther away from their home when there is a program closer to home.  Per parent reports, district leadership has not answered how the placement decision was made for the student",All students are given the opportunity to interact with and be a part of the general education population.  Staff and school leadership work together to find ways to help students be successful.  School leadership listen and value the opinions and feedback from special education staff. In-person monthly meetings between intensive support classroom teachers/staff and district leadership--these meetings held in the classroom so district leadership has a better idea of what is happening in the classroom,district leadership does not respond to questions/requests for support in a timely fashion.  district leadership also does not value the opinions and feedback of special education staff and school leadership that is advocating for the special education staff and students.  lack of in person meetings between intensive support staff and district leadership,"Short weekly emails, with information that anything that needs further explanation will be talked about at staff meeting or job-alikes and that if more information is needed, implementation will not occur until after the in person meeting.","long monthly newsletters full of information that is not discussed further at job-alikes, lack of in person meetings in the classroom between district leadership and special education teachers/staff",District leadership actually responding in the time line that has been set forth and taking the opinions and knowledge of special education staff into consideration.
Yes,,,,,,,,,,,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,Curriculum for very low functioning students,"The student roll-up process especially for spring of 2022 was a huge mess. Teachers were not consulted before the first round of role ups came out. When teachers gave input, it took months to get students on the appropriate lists for the following school year. I had 6th graders placed on High School role up lists. I had several students placed on multiple lists. In August of this year, 4 students in my school alone in the intensive support programs where STILL not on the right lists. Parents were pissed that they didn't get information about their children's placements til June as administration was SO SLOW in communicating information. Plus then it was left to teachers to deal with angry parents when it was the district admins who had failed. Inquiries from teachers went dismissed or simply not responded to. Communication from district repeatedly said ""no placement was made without teacher input."" This was a flat out lie to cover their butts. Many many placement decisions were made without teacher input.    Further, in the spring of 2011, the district made the decision to close one of the IS classrooms primarily for students with autism with lower cognitive skills and high behavior need. Without consulting teachers, this whole classroom of students was sent back to intensive classroom in/near their neighborhood school. These schools were not given any additional training or resources (staff). Most of those placements failed, and the students had to be moved again to another school. If the district had simply worked with teachers on the best placement suggestions for each student, this huge disruption for students and families could have been avoided.",Presently  -We have a very supportive principal. They regularly check in with us about our needs and help out if they can.  -We have teachers in our school that support the inclusion of our students with significant disabilities into various parts of the school day depending on what is appropriate for the students. We share information with other classes about our program. Gen ed teachers send students to read and play with us to make connections.    Would be  -Staff. We need staff. We are desperate for para educators. Our students can't engage with the school community or learn effectively when our intensive support programs are hemorrhaging from being short staffed every single day.,"-Our principal is great at checking in, but they do not have an extensive knowledge of students with disabilities or special education program. The district has continually told us that we need to go through our principals with any concerns or questions, and this simply isn't logical. When we have questions about staffing, curriculum, IEPs, resources available, etc, our principals can't answer them. Why would you expect them to? And why would you expect them to be the middle man. They are overworked as it is. We need direct and frequent access to our special education administrators.    -Staff. Again, we are desperate for staff. We currently have 11.5 out of the 17 paraeducators the IS programs at our school should have. How do you appropriately integrate students with significant disabilities when you are doing everything you can just to keep them safe and attend to their personal care needs. When teachers are exhausted and stressed out all the time, we also don't have the energy to facilitate a more positive climate. We have to get staff.",-Responding to emails in a timely fashion.  -Gathering information from affected parties before making big decisions.  -Having regular (monthly or more often) face to face meetings with our district special education administrators.  -Having our administrators visit our classroom so they know our programs and our student population.,"-Weekly memos that contain both important and unimportant information, so it's hard to know what to pay attention to.  -Newsletters that contain inaccurate information. When staff point out incorrect information, it might get changed, but then admin fail to let staff it has been changed to alert staff to read the message again.  -Emails that say ""Thanks for letting me know."" But not actually doing anything about the problems.  -Emails that go unanswered for weeks or months.  -Expecting teachers to take the heat for errors and miscommunication made on the part of the district.  -Sped admin not meeting regularly with teaching staff.  -Putting ""3 before me"" in the communication flow chart, essentially telling staff they should not contact special ed admin.",-Special ed admin should regularly schedule monthly meetings with teaching staff.  -Special ed admin should communicate with and listen to stakeholders BEFORE big decisions are made.   -Special ed admin should visit classroom to see teachers and students.   -Special ed admins should respond to ALL emails within 48 hours.   -Special ed admin should care and find solution to staffing crisis that exists in several intensive support classrooms in the district.
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,supporting kids with specific learning and behavioral needs; teaching small groups; ways to engage and motivate students,,,,,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,Behavior ,,,,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,"-changes in district requirements in writing ieps  -training on the ""special education curriculum"" that we are given as choices (the district will only purchase these certain workbooks. they will not buy us workbooks that we ask for that the general education students get.)","I have worked in the Edmonds School District in special education for many many years. If parents are white and have money, or know someone, or even ""cute"" in one situation according to one of my program managers, they receive services (or more or better services[ie. the best interpreters, the best time slots to receive SLP services that don't interfere with gen. ed. core instruction, prioritized scheduling, and more consistent service delivery). Students and families of color, students and families that don't know the school system or speak English as a second language, I've seen admin. ""get over"" on these families and fail to offer the same services. If I mention services that I have seen admin. offer families at other meetings, I am reprimanded, retaliated against etc.","I wish there was someone at the district who cared about special education students as much as my teaching partner and I did who would ask us about what we need/what are concerns are and FOLLOW THROUGH with helping us solve problems.   I wish administrators at my school would treat special education teachers at our school with the same respect they do general education teachers so that the general education teachers would in turn begin to respect special education teachers. Special education is spoken about, and complained about in front of the special education teachers as if we aren't in the room, as if we have nothing to say about the matter. The general education teachers and staff have NO IDEA the massive cluster fuck that is the special education department in the edmonds school district. Every time I have ever tried to make it better, or suggest improvements for students with disabilities, there has been massive retaliation/backlash from administrators.",I think society in general treats people with disabilities with disrespect/disregard.  I have thought A LOT about why gen. ed. teachers and administrators at all levels have been so disrespectful of special education students and staff; I think they think it's okay because they think people without disabilities are better than people with disabilities. I don't know why; I know over the years it has made me sick over and over again. My counselor told me to stop asking why. I'm trying.,"I think IEP meetings are effective communication with parents and the school. I also think phone calls and emails from the teacher are great depending on parent preferences. I think admin. should find a way to check in with special education staff. I guess we have someone who is supposed to be checking in with us, but she has never come out to see my teaching partner or me at all this year. She only came to our school once and that was not to help either one of us, but because she wanted to be at a meeting to give her input on what she wanted our new school to look like. ","Sending out mass emails to all special ed. staff where there are a million links and no one knows which ones apply to which people or which ones we need to read.   Telling us for two years that Recovery Services information was ""coming soon"" but not sending it, even though we were being required to put something on all ieps that we were writing. I would call Libby LeCompte and ask her what to write on the IEPs that needed to be turned in now and she would just speak jibberish and never give me a straight answer. No one at the district takes the time to actually find the answers for teachers to help us do our jobs. Then they will finally come out with something and give us some crazy unrealistic dead",
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,,The site I work at is for preschool age students.  Most district professional development courses do not pertain to preschoolers.,"Currently in one of our classes, we have 4 of 8 special education students who are on the spectrum.  Seven of the eight are male.  4 of the 8 are nonverbal.  1 of the 8 is non ambulatory and needs 100% assistance for mobility.  It appears to me that students are placed by classroom vacancies and not by need.  ","Smaller class sizes.  A majority of special education preschoolers need intensive supports and accommodations.  With our current class sizes, I am not able to focus on individual students' needs.",Our Building Administrator seems more concerned with an inclusive learning environment instead of our special education students.,Most of the district communications I receive is from the monthly Staff memos.  ,Duplicate and multiple meeting invites because of incorrect information.,School level communications are almost nonexistent for Classified Staff.  Most of the school level communications I receive is second hand from my classroom teacher.  Our Building Administrator will address private emails.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,How to successfully and inclusively integrate students with disabilities into the general education classroom.,The process has never been explained to me by either SPED teachers or my principal.,"Communication with very clearly defined steps of how to identify students with disabilities (e.g. types of data that the gen ed. teacher needs to accumulate and present).   Also, SPED staff and admin need to clearly communicate what and how the SPED student will be integrated into the gen ed. classroom.",The major barrier is communication and clearly defined steps!,not sure...,not sure...,I've already stated
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Providing accommodations and instructional strategies for students with attention deficits.,Some classes have a much higher percentage of students with IEPs in comparison to similar grade level classes.,,,"During meetings with families, the staff are clear in discussing policies and procedures.  They are also kind and compassionate with families regarding the support provided to the students to meet their needs.",,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,How to work with Intensive support students who are in my classroom,"Students are referred to be tested for special education, and it does not happen because staff are too busy. Sometimes students qualify but the program is ""full"" so nothing changes. ",Students with extremely disruptive behavior are often put in regular ed classrooms with little support. It takes away from all the other learners and does not serve the disruptive student best. ,Students often do not receive their minutes because there are no subs. Students are often placed in a  general ed classroom when they should be in intensive support or have a one-on-one and a system in place to help the teacher be able to teach the entire class. ,Sometimes students are put on IEPs when they are referred. ,"Students who monopolize the teacher's attention (with extreme behaviors) are not getting the support they need, take away from other students' learning, and make teachers want to pursue a different profession. ","Students with special needs often need more help than one teacher can give. We need trained people to help us in the classroom with extreme behaviors, or students should be placed in a more appropriate classroom. Being told the program is full is not a good reason for a student not to be in the appropriate placement. "
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,"I think behavior and trauma are really affecting kids and families. Everyone needs more PD in this. I think specifically in SpEd we need more training and help with less frequent disabilities-how do we help them, where do we get the help. Regular PD on IEP compliance, complete with examples, in meaningful and helpful ways-along with easy to find resources to check that our IEPs are compliant. It's taken 20 years to get a sheet of paper with ways of correctly documenting Accommodations and Modifications. ","Placement has been an absolute mess! The biggest factor is neighborhood school and transportation. Changes in placement practices are not consistent. Kids have had program placement changes without an evaluation review or proper placement transition. Parents are unsure of where or why their student in going to a certain place. Different managers held different standards in placement changes. 21/22 year was an absolute MESS! We typically have our known caseload by March/April. Starting the 22/23 school year, the caseloads were still ""projections"" and not placements. ","Our school has a good community of diversity. Our students are used to being around students who are different from them and because of that, many learn how to be good helpers and leaders. ",Gen Ed curriculum. It is adopted and purchased and it rarely has information about differentiating instruction and making it accessible to all. Amplify science curriculum is a prime example. It is high level reading materials with NO lower level texts. Most of it is online exploring. It is very hard for special education students (and ML and Lower performing students ) to meaningfully access the curriculum. Thus they are left out or feel left out. ,"Consistent WEEKLY memos with important, relevant information that is given in a timely way. List of links to important information (my principal has a two page list of links that is then linked at the top of her weekly memo. It's great and easy to use).   Actually using email to communication. I understand that people are trying to limit email communications, but honestly, it just makes the job harder. We NEVER receive emails from any district admin level about anything. We receive stuff from teaching and learning, assessment, technology. But SpEd? Never in the last couple of years. ","The ""weekly memo"" or ""biweekly newsletter"" from SpEd that honestly was a joke. There was very little information given in these. And there are so many Webpages out there now for every department and sub department, but unless you've bookmarked everything, it's really hard to find it all. Currently we received 3 biweekly newsletters, the last being Oct 31. Then we finally received a newly formatted newsletter on Jan 9th. Two solid months with NO communication from the district.     The SpEd department and GenEd departments don't communicate to each other. So often things happen for GenEd classrooms, but not for SpEd classrooms. It's an equity issue and it's happened multiple times. ","Consistency, clarity, and actually communicating would be great! My school building admin is great. It's been the Sped department and schools/individual teachers that communication has been horrible lately. Emails go unanswered and we don't get information that we need to effectively do our jobs. We are left fielding questions from parents that we don't know answers to and don't get answers to (Recovery Services! for example)    There are also a lot of little things between the various departments in SpEd--teachers and itinerant. Again, most of this is policies at the district level that affect the way we can do our job. It's too much to list here, but it's been said in various emails, the listening sessions from last year and voiced in meetings and hallways.     I love Edmonds School District but these last couple years have been very challenging. Something obviously was going on at the district level when 90% of the SpEd admins left. "
Yes,Yes,Other (please specify),TOSA,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,Resource teachers need more professional development for academics specific to special education students and intervention materials not general education material.   Teachers also need more pd around social emotional learning. ,"Decisions around programs, services and placements are not transparent or clearly communicated with staff and families.   I feel like as a district we moved away from considering students’ needs and abilities prior to making placements. All team members need to be in communication and a part of the placement process.  Some examples:  Last year a new program at Woodway was created for a very small number of students. This program was created late in the spring and students were moved for the few remaining months of the school year. There was no transparency and little communication around the program. Teachers and principals did not know who would move to the program. All of this created rumors and speculations. Teachers were concerned their student would be moved to this program without their input.      Schools with self contained programs are impacted the most by the placement process. There is no clarity of what the process is for placing students in programs other than it being their neighborhood school. This created very difficult classrooms that require schoolwide support which puts strain on other parts of the school. Special education teachers are unsure of why certain students are put together when their skills and behaviors are very different which can negatively impact the students and the classroom. ",Transparency   Clear & open communication   Ongoing communication   Open door   Responsive to emails and phone calls,The HIGH turn over in student services has been a barrier the past two years. Also district leadership was a barrier to special education and other departments the past two year. This is not the case this year with some of the new leaders hired.   Lack of TOSA support  and from special education managers was a barrier last year and the pervious year.   There still is a lack of support for Resource teachers. ,School level communication is effective. District level communication has been ineffective. There needs to be clear ongoing communication. District staff needs to be responsive and transparent.,"The google forms, newsletters, lack of response to emails. are all ineffective and inefficient. Example- the google forms were long and felt like a hoop to jump through when support was needed immediately. No response after completing google form.   Communication has been confusing especially around special education compliance changes and recovery services. ","Communication needs to be improved in Student Services especially be district leaders. During the 20-21 and 21-22 school years special education administrator (managers/director) staff grew significantly and with this increase communication and responsiveness decreased. During this increase in admin staffing the TOSA staff decreased significantly. TOSAs have always been the main support and line of communication without them teachers did not feel supported.   I have concerns about hiring practices for district administrators. I strongly believe district level administrators need to have admin certificates, especially when there are qualified staff with administrative certificates in the district.   District Special Education managers have limited availability and are often not available before/after school when teachers need support. "
Yes,Yes,Other (please specify),TOSA,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,"Resource Teachers need more training and PD in academics. as well as curriculum. Resource teachers should not be guided to use Gen Ed materials. Instead, Resource should have access to intervention materials that align with Title I/LAP interventions (in the area of reading). ","Decisions have not been transparent or communicated clearly with staff. The new program that started at Woodway Center for special education students was kept very secretive without clear communication about the purpose of the program or why it was being created. The timing of this program was questionable and needed explanation during a year of a staff and sub shortage. In other examples, families are not clear on their options or rights around placement changes.  Clarity on what the placement process is, especially for self-contained classrooms is needed.   ","Transparency! Clear, open and ongoing communication. Frequent opportunities to check in with special education teachers to help problem solve. ",District Special Education leadership the last 2 years has been a barrier. High turnover of managers in special education.  Lack of TOSA support and special ed managers specific to elementary Resource Teachers.,School level communication is effective. District level communication regarding special education has not been effective. ,"District level communication has been ineffective an inefficient.  There seems to be a new and additional form required for everything related to special ed. While there has to be some ""checks and balances"", making principals and teachers jump through extra hoops when they are in crisis with a student is not effective. The newsletter that was started for sped was not relevant or helpful to teachers in a pandemic. Guidance around IEP recovery services was confusing and unclear and changed often. District level communication needs to be responsive because typically there is no response or a very delayed response. ","Communication in Edmonds School District is fine. The issue has been within the district level special education department, primarily because the norm was no response. The Special Ed district admin staff grew significantly during 20-21 and 21-22 and yet responses were still absent or very delayed and teachers felt unsupported. As additional admin were added, the TOSA and coaching support went away so teachers got less support than they ever had in previous years (during the hardest years in education). "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"How to meet the varying needs of students. As an intermediate teacher, I have academic levels varying from kindergarten to 6th grade. That is essentially a one-room school in one classroom without support","General education teachers have no part in the placement process. As a parent of a special education student, I have seen placement vary by building. ","We have paraeducators providing services to students with IEPs and are not skilled enough to do so. Our building has unsafe situations where staff do not have the appropriate para support for students with 1:1 support. Our building does not have LAP support for students after grade 3, even though the divide in ability increases. The process to evaluate for special education can be most of the school year while that student continues to struggle. We are managing behaviors that should be given additional support. ","Teachers are left to manage the additional work load on their own. Do more and more because it is good for kids, but do it on your own time.",Time given to meet and plan together.   When paras support small groups ,"Starting over with intervention each and every year before we can evaluate a student for special education.    Only providing SP.ED or nothing for intermediate students who are clearly below grade level by one more years.    Paras who are not skilled at academic subjects even at the elementary level (upper elem).    Learning support for most subjects is 90 minutes a week vs daily. In order to do daily, we would need more staff. Daily would be better for kids. We do what saves money instead, which is partly why I don't see them making great growth.    I am supposed to ""teach to the edges"" and not the average. I agree with this principle 100%. This means that all students can access learning at all times. I am working countless hours outside of my contract adapting lesson materials so all students can succeed because the district gives us the materials at average.","Hire Behavior Techs instead of paras for any students who have para support for behavioral goals.     Adapt lessons to be ready to meet the needs of various learners. Don't expect teachers to do this at the level we are. Here and there, of course. All day for all subjects and for so many levels, no.    Provide Lap Support for students K-12, but at the very least K-6. Pulling the support at grade 4 doesn't make sense and we have not seen the data support this model.     Provide more social emotional support for students by increasing counseling hours and not just for schools of certain sizes. We need more counselors to support students with special needs (IEPs) and behavior disabilities.     Actively seek and hire qualified paras. We cannot have paras supporting intermediate math skills who cannot do that math themselves. We have some paras who would not pass a 4th or 5th grade math assessment. This is ridiculous to have them providing instruction to our most vulnerable learners.    "
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,how to deal with students with different disabilities or learning problems. Resources how to help students.,I don't feel like I get all the information for the students that I work with and their disabilities.,More training for staff. More tools to help students with their disabilities.,Not having the best tools to work with students with disabilities. Some staff seem to have a negative attitude and it leaks over to other staff members.,"texts, emails, calls",n/a,"inform para's of all of their expectations in written documents, ie: a workbook."
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,On how to support students w/ behavioral issues when we are understaffed and unsupported- especially out at recess. ,"Communication seems to lack within our building, and it seems those whose roles are more “superficial” make the calls about student placement/IEPs rather than those who are in the actual classroom setting & working with the students such as the para and/or para",,"Lack of support, lack of communication, lack of resources. Not enough recess support- especially w/ those students who are liabilities and unpredictable. ",,,A stronger sense of unity
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),,Placements are not always IEP driven or an IEP team decision.,,,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,,,"PD for teachers AND even more in depth PD for admin.  They should know all aspects, to help support teachers.  ","Admin not understanding and district not giving teachers enough support.  Also, throwing all levels of kids into IS classes to save money.  NOT ENOUGH HELP IN FOR THOSE KIDS",in person communication and clear communication from district level TOSAs.  ,passing it down the line.  share all relevant info with all affected parties.  ,I don't know.  I am just a teacher with no PD on the topic or real understanding on it.  
Yes,Yes,General education teacher,,,Middle school (grades 7-8),,"How to deal with students with behavior issues, how to deal with students experiencing anxiety, how to manage students who need alternate reading/writing methods when I have a class full of 30 other students.",,We need more special education teachers to address the needs of all the special education students who have been identified.  We need more para-educator support to help the special education students be more successful in the general education classes.,"Too many special education students are grouped into one classroom due to a lack of para-educator support, which can change the dynamic of the classroom and hinder the learning of everyone in the classroom.","Individual phone calls, weekly emails",Too many emails from school and district all at the same time,I don't know
Yes,Yes,Other (please specify),"Special Ed Paraeducator, Para 1a",Elementary school (grades Pre-K to 6),,,Language and communication...any language topic that will help us work with our non-verbal and developing language learners,,,,,,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Executive function, behavioral disabilities, de-escalation training/strategies, what qualifies as a disability, LRE - the latter two are what many teachers seem to confuse and say that a disability such as Autism should automatically be in an intensive support classroom ","Process: steps are rarely, if at all, communicated until the IEP meeting; teachers are not consulted as to best times to pull students for testing    Placement: some teachers assume that a diagnosis means a placement in an intensive support room and push for that even if it is not the student's LRE.","Clear and constant communication between all parties.    Education on the process, tests, timelines, etc. so that all staff know the procedures and how the process works.","Lack of transparency between admin and staff throughout the process of testing, making goals, and the writing of an IEP (such as time in gen ed).    Staff feel like they have little to no input on the process, which leads to an us vs them mentality. The value of the classroom teacher's experience is often dismissed.    During the 21-22 school year, there was little to no response from the SPED department unless the union pressed the issue. ",ParentSquare translates to parents preferred language.,The app is not user-friendly for parents. The formatting is always messed up when things on the app are sent via email.    There are not many opportunities for parents to respond/ ask questions/communicate with the district. We should be including our community in our communications and it is a one-way street at the moment.,"Providing opportunities for families to give feedback/share concerns with the district, AND responding to the feedback with actionable steps."
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),"1. Helping students with high incidence disabilities access universal tools for reading, writing and math.  2. Teaching students with complex disabilities to read and write.  3. Implementing UDL  4. Teaching students who use alternative access to engage academically.",Staff has little input in placement decisions and are often made based on what is convenient to the district admin.,Adequate staff to allow students to authentically engage in inclusion in the General education classes to the greatest extent possible. Training for all staff SPED and GenED on how to use principles of UDL so every child can participate.,Lack of training and classified support,Regular meetings (monthy) to check in and update each other with information.,Newsletters with too much information.  Lengthy emails with lots of information buried it,Timely responses to email/phone messages by Admin. Following up and being transparent with working through an issue.  Traininging in procedures during team meetings before presenting in email.  Have a website for staff to access information that they have been trained or informed about.  
